index,City,Date,Month,Card Type,Exp Type,Gender,Amount
44,"Bengaluru, India",19-Apr-14,Apr,Platinum,Bills,Female,262414
45,"Bengaluru, India",8-Sep-14,Sep,Gold,Bills,Female,249353
46,"Ahmedabad, India",10-Dec-13,Dec,Gold,Bills,Female,892016
47,"Ahmedabad, India",4-Nov-13,Nov,Platinum,Bills,Female,313626
48,"Greater Mumbai, India",1-Jun-14,Jun,Gold,Bills,Female,314366
49,"Greater Mumbai, India",27-Apr-14,Apr,Signature,Bills,Female,551340
50,"Delhi, India",4-Oct-13,Oct,Signature,Bills,Female,735037
51,"Greater Mumbai, India",31-Dec-14,Dec,Platinum,Bills,Female,574023
52,"Ahmedabad, India",21-Dec-13,Dec,Signature,Bills,Female,402300
53,"Delhi, India",7-Dec-13,Dec,Signature,Bills,Female,733125
54,"Greater Mumbai, India",7-Feb-14,Feb,Signature,Bills,Female,545977
55,"Bengaluru, India",13-May-15,May,Silver,Bills,Female,371572
56,"Ahmedabad, India",28-Jan-15,Jan,Signature,Bills,Female,326283
57,"Delhi, India",9-Dec-14,Dec,Platinum,Bills,Female,279051
58,"Delhi, India",8-Oct-13,Oct,Platinum,Bills,Female,900101
59,"Ahmedabad, India",24-Apr-14,Apr,Silver,Bills,Female,545286
60,"Delhi, India",13-Jan-15,Jan,Platinum,Bills,Female,722587
61,"Bengaluru, India",14-Mar-14,Mar,Platinum,Bills,Female,411062
62,"Delhi, India",27-Feb-14,Feb,Platinum,Bills,Female,660910
63,"Greater Mumbai, India",29-Oct-13,Oct,Signature,Bills,Female,557370
64,"Greater Mumbai, India",22-Jun-14,Jun,Platinum,Bills,Female,549794
65,"Delhi, India",23-Jan-14,Jan,Platinum,Bills,Female,340133
66,"Bengaluru, India",10-Nov-13,Nov,Gold,Bills,Female,265417
67,"Greater Mumbai, India",13-Dec-13,Dec,Platinum,Bills,Female,358185
68,"Greater Mumbai, India",22-Mar-14,Mar,Gold,Bills,Female,991685
69,"Greater Mumbai, India",13-Jan-15,Jan,Gold,Bills,Female,533762
70,"Greater Mumbai, India",8-May-14,May,Gold,Bills,Female,829742
71,"Delhi, India",18-Feb-14,Feb,Silver,Bills,Female,441527
72,"Delhi, India",4-Oct-13,Oct,Signature,Bills,Female,550782
73,"Greater Mumbai, India",14-Jun-14,Jun,Platinum,Bills,Female,835872
74,"Ahmedabad, India",24-Aug-14,Aug,Silver,Bills,Female,540497
75,"Greater Mumbai, India",2-Apr-15,Apr,Platinum,Bills,Female,525977
76,"Greater Mumbai, India",27-Jun-14,Jun,Gold,Bills,Female,789393
77,"Greater Mumbai, India",6-Feb-15,Feb,Platinum,Bills,Female,689478
78,"Bengaluru, India",29-Mar-14,Mar,Silver,Bills,Female,499079
79,"Ahmedabad, India",22-Apr-14,Apr,Platinum,Bills,Female,665107
80,"Greater Mumbai, India",14-Oct-14,Oct,Platinum,Bills,Female,998077
81,"Ahmedabad, India",2-Feb-14,Feb,Silver,Bills,Female,934205
82,"Bengaluru, India",1-Apr-15,Apr,Platinum,Bills,Female,823426
83,"Ahmedabad, India",13-Jan-15,Jan,Signature,Bills,Female,282910
84,"Bengaluru, India",27-Mar-14,Mar,Gold,Bills,Female,418675
85,"Ahmedabad, India",17-Feb-15,Feb,Silver,Bills,Female,804949
86,"Bengaluru, India",10-Feb-15,Feb,Gold,Bills,Female,686601
87,"Greater Mumbai, India",26-Feb-14,Feb,Silver,Bills,Female,561220
88,"Greater Mumbai, India",7-May-15,May,Gold,Bills,Female,762534
89,"Bengaluru, India",5-Jan-14,Jan,Gold,Bills,Female,327947
90,"Bengaluru, India",7-Apr-14,Apr,Gold,Bills,Female,492986
91,"Delhi, India",20-Feb-15,Feb,Signature,Bills,Female,369237
92,"Bengaluru, India",19-Jan-15,Jan,Platinum,Bills,Female,983839
93,"Ahmedabad, India",14-Nov-14,Nov,Gold,Bills,Female,776716
94,"Greater Mumbai, India",21-Jul-14,Jul,Gold,Bills,Female,664632
95,"Bengaluru, India",3-Feb-15,Feb,Gold,Bills,Female,466727
96,"Bengaluru, India",1-Nov-13,Nov,Gold,Bills,Female,896384
97,"Delhi, India",7-Dec-13,Dec,Signature,Bills,Female,712001
98,"Greater Mumbai, India",5-Aug-14,Aug,Silver,Bills,Female,246865
99,"Greater Mumbai, India",8-Jan-15,Jan,Signature,Bills,Female,858729
100,"Delhi, India",11-Apr-15,Apr,Platinum,Bills,Female,581882
101,"Greater Mumbai, India",15-Feb-15,Feb,Signature,Bills,Female,646426
102,"Bengaluru, India",24-Mar-15,Mar,Silver,Bills,Female,687088
103,"Bengaluru, India",13-Oct-13,Oct,Signature,Bills,Female,973026
104,"Greater Mumbai, India",24-Apr-15,Apr,Silver,Bills,Female,944398
105,"Ahmedabad, India",9-Nov-14,Nov,Platinum,Bills,Female,414422
106,"Bengaluru, India",4-Feb-15,Feb,Signature,Bills,Female,408503
107,"Bengaluru, India",6-Mar-14,Mar,Signature,Bills,Female,984466
108,"Greater Mumbai, India",27-Mar-14,Mar,Gold,Bills,Female,919997
109,"Greater Mumbai, India",13-Nov-13,Nov,Signature,Bills,Female,535101
110,"Greater Mumbai, India",22-Oct-13,Oct,Signature,Bills,Female,978301
111,"Greater Mumbai, India",27-Sep-14,Sep,Gold,Bills,Female,880406
112,"Ahmedabad, India",14-Nov-14,Nov,Silver,Bills,Female,447241
113,"Bengaluru, India",21-Oct-13,Oct,Platinum,Bills,Female,382191
114,"Bengaluru, India",15-May-15,May,Silver,Bills,Female,775859
115,"Bengaluru, India",21-Mar-14,Mar,Platinum,Bills,Female,832637
116,"Bengaluru, India",3-Apr-15,Apr,Platinum,Bills,Female,458526
117,"Ahmedabad, India",6-Apr-15,Apr,Signature,Bills,Female,440995
118,"Ahmedabad, India",5-Nov-13,Nov,Platinum,Bills,Female,490128
119,"Delhi, India",7-Oct-13,Oct,Platinum,Bills,Female,897079
120,"Delhi, India",31-Oct-14,Oct,Gold,Bills,Female,431948
121,"Bengaluru, India",3-Apr-14,Apr,Silver,Bills,Female,228072
122,"Delhi, India",21-Nov-13,Nov,Gold,Bills,Female,757649
123,"Delhi, India",11-May-14,May,Signature,Bills,Female,919877
124,"Greater Mumbai, India",23-May-14,May,Gold,Bills,Female,605615
125,"Bengaluru, India",22-May-15,May,Platinum,Bills,Female,500852
126,"Greater Mumbai, India",15-Feb-15,Feb,Signature,Bills,Female,488136
127,"Delhi, India",16-Jun-14,Jun,Gold,Bills,Female,937828
128,"Delhi, India",27-Jan-14,Jan,Gold,Bills,Female,315873
129,"Greater Mumbai, India",20-May-15,May,Silver,Bills,Female,567623
130,"Greater Mumbai, India",29-Oct-13,Oct,Platinum,Bills,Female,555123
131,"Bengaluru, India",20-Apr-14,Apr,Gold,Bills,Female,498843
132,"Greater Mumbai, India",23-May-14,May,Silver,Bills,Female,752610
133,"Greater Mumbai, India",11-Mar-15,Mar,Platinum,Bills,Female,494540
134,"Delhi, India",27-Oct-13,Oct,Gold,Bills,Female,996754
135,"Ahmedabad, India",14-Jul-14,Jul,Signature,Bills,Female,245572
136,"Delhi, India",18-Apr-14,Apr,Gold,Bills,Female,974384
137,"Ahmedabad, India",25-Mar-14,Mar,Silver,Bills,Female,846635
138,"Ahmedabad, India",1-Sep-14,Sep,Silver,Bills,Female,635473
139,"Delhi, India",23-Mar-15,Mar,Gold,Bills,Female,224510
140,"Delhi, India",24-Jan-15,Jan,Silver,Bills,Female,478671
141,"Greater Mumbai, India",4-Oct-13,Oct,Gold,Bills,Female,990700
142,"Delhi, India",14-Mar-14,Mar,Gold,Bills,Female,228565
143,"Bengaluru, India",3-Jan-14,Jan,Silver,Bills,Female,297732
144,"Greater Mumbai, India",3-Dec-14,Dec,Signature,Bills,Female,559262
145,"Bengaluru, India",1-Jul-14,Jul,Signature,Bills,Female,809907
146,"Ahmedabad, India",21-Aug-14,Aug,Signature,Bills,Female,428316
147,"Ahmedabad, India",5-Mar-14,Mar,Signature,Bills,Female,275065
148,"Bengaluru, India",20-Apr-14,Apr,Silver,Bills,Female,845653
149,"Ahmedabad, India",20-Nov-13,Nov,Signature,Bills,Female,236296
150,"Bengaluru, India",25-Sep-14,Sep,Signature,Bills,Female,440572
151,"Ahmedabad, India",6-Feb-15,Feb,Gold,Bills,Female,478115
152,"Bengaluru, India",26-Oct-13,Oct,Gold,Bills,Female,897621
153,"Greater Mumbai, India",6-May-15,May,Signature,Bills,Female,554281
154,"Delhi, India",30-Sep-14,Sep,Silver,Bills,Female,245452
155,"Delhi, India",17-Jan-14,Jan,Platinum,Bills,Female,365045
156,"Greater Mumbai, India",11-Jan-15,Jan,Gold,Bills,Female,496047
157,"Bengaluru, India",11-Feb-15,Feb,Silver,Bills,Female,466814
158,"Bengaluru, India",10-Nov-14,Nov,Gold,Bills,Female,835177
159,"Delhi, India",12-Jan-15,Jan,Silver,Bills,Female,219698
160,"Bengaluru, India",18-Oct-14,Oct,Silver,Bills,Female,784541
161,"Delhi, India",25-Oct-13,Oct,Signature,Bills,Female,576994
162,"Bengaluru, India",15-May-15,May,Gold,Bills,Female,464663
163,"Bengaluru, India",3-May-14,May,Platinum,Bills,Female,380270
164,"Ahmedabad, India",2-Oct-14,Oct,Silver,Bills,Female,772082
165,"Delhi, India",9-Apr-15,Apr,Gold,Bills,Female,230853
166,"Bengaluru, India",6-Oct-13,Oct,Signature,Bills,Female,677654
167,"Greater Mumbai, India",5-Feb-14,Feb,Signature,Bills,Female,929247
168,"Ahmedabad, India",9-Apr-15,Apr,Platinum,Bills,Female,851374
169,"Ahmedabad, India",19-Jan-14,Jan,Platinum,Bills,Female,637600
170,"Greater Mumbai, India",9-Nov-13,Nov,Platinum,Bills,Female,681749
171,"Delhi, India",25-Mar-14,Mar,Silver,Bills,Female,847958
172,"Greater Mumbai, India",18-Feb-14,Feb,Gold,Bills,Female,877569
173,"Ahmedabad, India",14-Oct-13,Oct,Platinum,Bills,Female,450413
174,"Bengaluru, India",1-May-15,May,Signature,Bills,Female,219041
175,"Bengaluru, India",31-Dec-14,Dec,Gold,Bills,Female,866572
176,"Greater Mumbai, India",26-Mar-14,Mar,Signature,Bills,Female,570791
177,"Ahmedabad, India",28-Apr-14,Apr,Silver,Bills,Female,705464
178,"Greater Mumbai, India",6-Apr-14,Apr,Signature,Bills,Female,806821
179,"Greater Mumbai, India",27-Mar-14,Mar,Platinum,Bills,Female,515472
180,"Ahmedabad, India",23-Sep-14,Sep,Silver,Bills,Female,352207
181,"Ahmedabad, India",4-Mar-15,Mar,Gold,Bills,Female,342761
182,"Bengaluru, India",27-Feb-14,Feb,Signature,Bills,Female,249099
183,"Ahmedabad, India",27-Aug-14,Aug,Platinum,Bills,Female,995634
184,"Bengaluru, India",12-Dec-14,Dec,Signature,Bills,Female,435097
185,"Ahmedabad, India",16-Jun-14,Jun,Platinum,Bills,Female,797815
186,"Delhi, India",2-Jan-14,Jan,Gold,Bills,Female,326922
187,"Bengaluru, India",11-Dec-14,Dec,Gold,Bills,Female,396241
188,"Delhi, India",14-Dec-14,Dec,Gold,Bills,Female,486949
189,"Greater Mumbai, India",17-Jan-14,Jan,Gold,Bills,Female,333483
190,"Ahmedabad, India",5-Oct-13,Oct,Platinum,Bills,Female,612572
191,"Bengaluru, India",18-Mar-15,Mar,Silver,Bills,Female,327244
192,"Ahmedabad, India",4-Feb-14,Feb,Silver,Bills,Female,955468
193,"Greater Mumbai, India",25-Feb-15,Feb,Gold,Bills,Female,927864
194,"Delhi, India",28-Mar-14,Mar,Signature,Bills,Female,555220
195,"Delhi, India",28-Dec-14,Dec,Silver,Bills,Female,952640
196,"Ahmedabad, India",31-May-14,May,Silver,Bills,Female,695749
197,"Greater Mumbai, India",22-Aug-14,Aug,Platinum,Bills,Female,365724
198,"Greater Mumbai, India",3-Mar-15,Mar,Platinum,Bills,Female,738108
199,"Ahmedabad, India",17-Jan-15,Jan,Platinum,Bills,Female,650785
200,"Delhi, India",23-Oct-14,Oct,Signature,Bills,Female,611486
201,"Bengaluru, India",5-Aug-14,Aug,Platinum,Bills,Female,965721
202,"Ahmedabad, India",12-Oct-14,Oct,Gold,Bills,Female,413052
203,"Ahmedabad, India",22-Jan-14,Jan,Silver,Bills,Female,584822
204,"Ahmedabad, India",25-Mar-15,Mar,Gold,Bills,Female,980146
205,"Ahmedabad, India",10-Oct-14,Oct,Signature,Bills,Female,926072
206,"Delhi, India",16-Apr-14,Apr,Silver,Bills,Female,482394
207,"Bengaluru, India",21-Feb-14,Feb,Signature,Bills,Female,718346
208,"Bengaluru, India",24-Apr-14,Apr,Silver,Bills,Female,491598
209,"Delhi, India",7-Sep-14,Sep,Platinum,Bills,Female,848852
210,"Bengaluru, India",28-Dec-14,Dec,Gold,Bills,Female,396139
211,"Ahmedabad, India",13-Oct-14,Oct,Signature,Bills,Female,856974
212,"Ahmedabad, India",3-Apr-15,Apr,Signature,Bills,Female,855990
213,"Delhi, India",16-Feb-15,Feb,Signature,Bills,Female,924776
214,"Greater Mumbai, India",3-Apr-14,Apr,Signature,Bills,Female,204850
215,"Delhi, India",3-Nov-13,Nov,Platinum,Bills,Female,780669
216,"Greater Mumbai, India",17-Apr-14,Apr,Signature,Bills,Female,887442
217,"Delhi, India",22-Jan-14,Jan,Signature,Bills,Female,297820
218,"Delhi, India",14-Mar-15,Mar,Signature,Bills,Female,687879
219,"Greater Mumbai, India",13-Oct-13,Oct,Silver,Bills,Female,738456
220,"Delhi, India",24-Aug-14,Aug,Platinum,Bills,Female,378535
221,"Greater Mumbai, India",9-May-15,May,Silver,Bills,Female,334116
222,"Delhi, India",7-Jun-14,Jun,Silver,Bills,Female,772360
223,"Ahmedabad, India",26-Nov-14,Nov,Gold,Bills,Female,580796
224,"Greater Mumbai, India",21-Oct-14,Oct,Silver,Bills,Female,855465
225,"Greater Mumbai, India",15-Jun-14,Jun,Gold,Bills,Female,978989
226,"Ahmedabad, India",25-Apr-15,Apr,Gold,Bills,Female,451874
227,"Ahmedabad, India",7-Sep-14,Sep,Silver,Bills,Female,670750
228,"Bengaluru, India",19-May-15,May,Signature,Bills,Female,977951
229,"Delhi, India",23-Feb-14,Feb,Platinum,Bills,Female,403466
230,"Delhi, India",28-Oct-13,Oct,Signature,Bills,Female,861177
231,"Ahmedabad, India",17-Dec-14,Dec,Gold,Bills,Female,528612
232,"Ahmedabad, India",4-Dec-14,Dec,Signature,Bills,Female,339670
233,"Delhi, India",18-Nov-13,Nov,Signature,Bills,Female,963751
234,"Ahmedabad, India",30-Nov-14,Nov,Gold,Bills,Female,761930
235,"Ahmedabad, India",21-Aug-14,Aug,Signature,Bills,Female,852806
236,"Delhi, India",25-May-14,May,Signature,Bills,Female,207755
237,"Greater Mumbai, India",19-Apr-15,Apr,Gold,Bills,Female,489540
238,"Ahmedabad, India",25-Mar-14,Mar,Silver,Bills,Female,274395
239,"Bengaluru, India",11-Feb-14,Feb,Platinum,Bills,Female,566945
240,"Ahmedabad, India",9-Dec-14,Dec,Gold,Bills,Female,705690
241,"Bengaluru, India",25-Mar-14,Mar,Gold,Bills,Female,894888
242,"Greater Mumbai, India",2-Jan-14,Jan,Platinum,Bills,Female,811899
243,"Greater Mumbai, India",25-Dec-14,Dec,Silver,Bills,Female,677645
244,"Greater Mumbai, India",16-Oct-14,Oct,Platinum,Bills,Female,326162
245,"Delhi, India",19-Apr-15,Apr,Platinum,Bills,Female,316946
246,"Delhi, India",20-Jan-14,Jan,Platinum,Bills,Female,622373
247,"Bengaluru, India",10-May-14,May,Signature,Bills,Female,640653
248,"Ahmedabad, India",9-Jan-15,Jan,Signature,Bills,Female,745493
249,"Delhi, India",31-Oct-13,Oct,Gold,Bills,Female,868021
250,"Delhi, India",28-Nov-14,Nov,Platinum,Bills,Female,284923
251,"Bengaluru, India",21-Jul-14,Jul,Platinum,Bills,Female,814422
252,"Bengaluru, India",22-Apr-15,Apr,Gold,Bills,Female,599741
253,"Ahmedabad, India",10-Jun-14,Jun,Platinum,Bills,Female,804560
254,"Ahmedabad, India",17-Apr-15,Apr,Gold,Bills,Female,996291
255,"Ahmedabad, India",9-Nov-13,Nov,Platinum,Bills,Female,477553
256,"Delhi, India",2-Jan-15,Jan,Gold,Bills,Female,216028
257,"Greater Mumbai, India",10-Mar-15,Mar,Signature,Bills,Female,275427
258,"Delhi, India",22-Dec-13,Dec,Silver,Bills,Female,722048
259,"Delhi, India",14-Feb-15,Feb,Silver,Bills,Female,292365
260,"Ahmedabad, India",30-Jan-15,Jan,Silver,Bills,Female,400393
261,"Greater Mumbai, India",1-Apr-14,Apr,Platinum,Bills,Female,219720
262,"Delhi, India",15-Feb-15,Feb,Signature,Bills,Female,981404
263,"Bengaluru, India",24-Nov-14,Nov,Signature,Bills,Female,639670
264,"Bengaluru, India",7-Aug-14,Aug,Gold,Bills,Female,814333
265,"Ahmedabad, India",17-Oct-13,Oct,Gold,Bills,Female,569582
266,"Ahmedabad, India",25-May-14,May,Gold,Bills,Female,954111
267,"Ahmedabad, India",16-May-14,May,Gold,Bills,Female,635267
268,"Delhi, India",11-Oct-13,Oct,Gold,Bills,Female,393651
269,"Ahmedabad, India",2-Jun-14,Jun,Platinum,Bills,Female,572306
270,"Ahmedabad, India",6-Aug-14,Aug,Silver,Bills,Female,407647
271,"Greater Mumbai, India",26-Jan-15,Jan,Gold,Bills,Female,734396
272,"Delhi, India",2-Mar-15,Mar,Platinum,Bills,Female,224414
273,"Ahmedabad, India",10-Sep-14,Sep,Signature,Bills,Female,203194
274,"Greater Mumbai, India",22-Jan-15,Jan,Gold,Bills,Female,250410
275,"Delhi, India",4-Apr-15,Apr,Silver,Bills,Female,830697
276,"Greater Mumbai, India",16-May-14,May,Platinum,Bills,Female,790800
277,"Greater Mumbai, India",22-Feb-14,Feb,Silver,Bills,Female,638570
278,"Greater Mumbai, India",13-Aug-14,Aug,Silver,Bills,Female,380409
279,"Greater Mumbai, India",1-Apr-14,Apr,Gold,Bills,Female,601631
280,"Ahmedabad, India",8-Jan-14,Jan,Gold,Bills,Female,690534
281,"Ahmedabad, India",5-Mar-15,Mar,Silver,Bills,Female,423661
282,"Greater Mumbai, India",8-Dec-14,Dec,Silver,Bills,Female,936294
283,"Bengaluru, India",29-Nov-14,Nov,Platinum,Bills,Female,537050
284,"Delhi, India",8-Mar-15,Mar,Silver,Bills,Female,899343
285,"Greater Mumbai, India",25-Nov-13,Nov,Platinum,Bills,Female,834691
286,"Ahmedabad, India",13-Apr-15,Apr,Silver,Bills,Female,240216
287,"Greater Mumbai, India",15-Apr-14,Apr,Signature,Bills,Female,424370
288,"Delhi, India",13-Feb-15,Feb,Silver,Bills,Female,593991
289,"Greater Mumbai, India",2-Oct-14,Oct,Signature,Bills,Female,768467
290,"Delhi, India",7-Feb-15,Feb,Gold,Bills,Female,781959
291,"Bengaluru, India",27-Dec-14,Dec,Platinum,Bills,Female,553907
292,"Bengaluru, India",4-Aug-14,Aug,Platinum,Bills,Female,308622
293,"Greater Mumbai, India",5-May-15,May,Signature,Bills,Female,912334
294,"Delhi, India",28-Jan-15,Jan,Silver,Bills,Female,586474
295,"Delhi, India",6-Apr-14,Apr,Gold,Bills,Female,521237
296,"Delhi, India",30-Oct-13,Oct,Signature,Bills,Female,446266
297,"Greater Mumbai, India",30-Sep-14,Sep,Platinum,Bills,Female,511168
298,"Bengaluru, India",28-Dec-13,Dec,Signature,Bills,Female,608438
299,"Delhi, India",18-Oct-14,Oct,Gold,Bills,Female,973519
300,"Delhi, India",28-Nov-14,Nov,Platinum,Bills,Female,688577
301,"Bengaluru, India",12-May-14,May,Silver,Bills,Female,686619
302,"Greater Mumbai, India",6-Nov-14,Nov,Signature,Bills,Female,255982
303,"Greater Mumbai, India",2-Mar-14,Mar,Signature,Bills,Female,464656
304,"Delhi, India",19-Apr-15,Apr,Signature,Bills,Female,212319
305,"Greater Mumbai, India",18-Apr-15,Apr,Platinum,Bills,Female,307563
306,"Delhi, India",15-Apr-15,Apr,Silver,Bills,Female,407564
307,"Bengaluru, India",12-Oct-14,Oct,Signature,Bills,Female,331349
308,"Delhi, India",14-Apr-15,Apr,Silver,Bills,Female,391325
309,"Ahmedabad, India",7-Oct-14,Oct,Silver,Bills,Female,530244
310,"Greater Mumbai, India",16-Apr-14,Apr,Signature,Bills,Female,668736
311,"Bengaluru, India",3-Dec-14,Dec,Gold,Bills,Female,517448
312,"Ahmedabad, India",3-Aug-14,Aug,Platinum,Bills,Female,788531
313,"Ahmedabad, India",17-Mar-14,Mar,Gold,Bills,Female,474729
314,"Bengaluru, India",16-Jan-15,Jan,Platinum,Bills,Female,590841
315,"Greater Mumbai, India",5-Jan-14,Jan,Platinum,Bills,Female,608427
316,"Delhi, India",2-May-15,May,Silver,Bills,Female,719835
317,"Delhi, India",30-Dec-13,Dec,Signature,Bills,Female,375139
318,"Bengaluru, India",19-May-14,May,Platinum,Bills,Female,229589
319,"Bengaluru, India",5-Jul-14,Jul,Signature,Bills,Female,376453
320,"Delhi, India",10-Oct-13,Oct,Signature,Bills,Female,360009
321,"Ahmedabad, India",3-Aug-14,Aug,Signature,Bills,Female,770346
322,"Greater Mumbai, India",23-May-15,May,Signature,Bills,Female,489043
323,"Bengaluru, India",11-Nov-14,Nov,Platinum,Bills,Female,503037
324,"Greater Mumbai, India",11-Jan-14,Jan,Platinum,Bills,Female,731261
325,"Ahmedabad, India",14-Feb-14,Feb,Signature,Bills,Female,262755
326,"Greater Mumbai, India",16-Jul-14,Jul,Gold,Bills,Female,825475
327,"Greater Mumbai, India",24-Feb-14,Feb,Platinum,Bills,Female,922630
328,"Delhi, India",25-Sep-14,Sep,Gold,Bills,Female,752172
329,"Ahmedabad, India",11-Jun-14,Jun,Gold,Bills,Female,418009
330,"Delhi, India",7-Jun-14,Jun,Signature,Bills,Female,994537
331,"Greater Mumbai, India",2-Aug-14,Aug,Silver,Bills,Female,922206
332,"Greater Mumbai, India",21-May-14,May,Signature,Bills,Female,389097
333,"Bengaluru, India",4-Apr-15,Apr,Signature,Bills,Female,880778
334,"Greater Mumbai, India",3-Mar-15,Mar,Gold,Bills,Female,327971
335,"Bengaluru, India",2-Mar-14,Mar,Signature,Bills,Female,689201
336,"Bengaluru, India",17-May-15,May,Silver,Bills,Female,792440
337,"Bengaluru, India",17-Mar-15,Mar,Signature,Bills,Female,602222
338,"Ahmedabad, India",3-Sep-14,Sep,Platinum,Bills,Female,502399
339,"Ahmedabad, India",17-Mar-14,Mar,Silver,Bills,Female,272804
340,"Bengaluru, India",6-Jun-14,Jun,Platinum,Bills,Female,613280
341,"Delhi, India",17-Oct-14,Oct,Signature,Bills,Female,876491
342,"Bengaluru, India",25-Feb-14,Feb,Silver,Bills,Female,820217
343,"Greater Mumbai, India",6-Sep-14,Sep,Signature,Bills,Female,994184
344,"Ahmedabad, India",7-Dec-13,Dec,Platinum,Bills,Female,515263
345,"Ahmedabad, India",28-Aug-14,Aug,Signature,Bills,Female,338527
346,"Ahmedabad, India",16-Jun-14,Jun,Silver,Bills,Female,934683
347,"Ahmedabad, India",7-Jul-14,Jul,Signature,Bills,Female,454570
348,"Greater Mumbai, India",28-Jan-15,Jan,Gold,Bills,Female,654519
349,"Ahmedabad, India",12-Jun-14,Jun,Gold,Bills,Female,958047
350,"Bengaluru, India",3-Nov-13,Nov,Silver,Bills,Female,465281
351,"Ahmedabad, India",31-Dec-13,Dec,Signature,Bills,Female,653161
352,"Ahmedabad, India",14-Apr-14,Apr,Gold,Bills,Female,307350
353,"Greater Mumbai, India",27-Aug-14,Aug,Silver,Bills,Female,41002
354,"Bengaluru, India",3-Jan-14,Jan,Silver,Bills,Female,34743
355,"Bengaluru, India",26-Sep-14,Sep,Signature,Bills,Female,195589
356,"Bengaluru, India",10-Mar-14,Mar,Signature,Bills,Female,204735
357,"Ahmedabad, India",14-May-14,May,Signature,Bills,Female,118112
358,"Greater Mumbai, India",12-Dec-13,Dec,Platinum,Bills,Female,61572
359,"Delhi, India",25-Feb-15,Feb,Gold,Bills,Female,274938
360,"Greater Mumbai, India",21-Feb-14,Feb,Signature,Bills,Female,43854
361,"Delhi, India",27-Apr-14,Apr,Gold,Bills,Female,8798
362,"Greater Mumbai, India",8-May-15,May,Gold,Bills,Female,192241
363,"Bengaluru, India",10-Apr-14,Apr,Silver,Bills,Female,128164
364,"Delhi, India",28-Apr-14,Apr,Signature,Bills,Female,249061
